description,merchant,category,amount
family dinner,,Food & Dining,489
ride home,,Transportation,90
paid 978 for spotify premium,,Entertainment,978
pizza order,,Food & Dining,357
clinic at El Ezaby Pharmacy,El Ezaby Pharmacy,Healthcare,3349
paid 1242 for electricity bill,,Bills & Utilities,1242
airport ride at Toll Gate,Toll Gate,Transportation,128
fitness,,Entertainment,557
phone bill from Electricity Company,Electricity Company,Bills & Utilities,483
food delivery from Abou Tarek,Abou Tarek,Food & Dining,717
koshary from Kheir Zaman,Kheir Zaman,Food & Dining,563
sushi dinner at Metro,Metro,Food & Dining,246
fast food,,Food & Dining,47
monthly groceries at Carrefour,Carrefour,Food & Dining,763
lab tests from Private Clinic,Private Clinic,Healthcare,2621
bought clothes at Cotton On,Cotton On,Shopping,7717
monthly bills,,Bills & Utilities,1451
brunch at Cafe Greco,Cafe Greco,Food & Dining,719
benzene from Toll Gate,Toll Gate,Transportation,394
electricity payment from beIN Sports,beIN Sports,Bills & Utilities,990
certification at Skillshare,Skillshare,Education,12783
coffee and cake at KFC,KFC,Food & Dining,103
shirt from Centrepoint,Centrepoint,Shopping,9385
breakfast at Taboon,Taboon,Food & Dining,157
paid 382 for movie tickets,,Entertainment,382
shopping spree,,Shopping,5644
transportation at Careem,Careem,Transportation,19
online course,,Education,216
dental checkup from 19011 Pharmacy,19011 Pharmacy,Healthcare,2411
new phone at AliExpress,AliExpress,Shopping,1127
hair treatment at The Body Shop,The Body Shop,Personal Care,1034
paid 557 for koshary,,Food & Dining,557
private lessons at Amazon Books,Amazon Books,Education,6749
foul and falafel,,Food & Dining,480
dinner,,Food & Dining,723
paid 936 for entertainment,,Entertainment,936
paid 321 for music subscription,,Entertainment,321
food delivery from Felfela,Felfela,Food & Dining,457
paid 17862 for weekend getaway,,Travel,17862
landline at WE,WE,Bills & Utilities,1351
bedding from LC Waikiki,LC Waikiki,Shopping,4739
paid 4452 for laptop,,Shopping,4452
jacket at Cotton On,Cotton On,Shopping,470
pizza order at Otlob,Otlob,Food & Dining,45
paid 610 for makeup,,Personal Care,610
paid 444 for burger meal,,Food & Dining,444
shawarma,,Food & Dining,169
monthly groceries from Fathalla Market,Fathalla Market,Food & Dining,523
groceries from Oscar Market,Oscar Market,Food & Dining,679
commute from Total,Total,Transportation,216
groceries,,Food & Dining,700
restaurant meal,,Food & Dining,625
paid 3455 for jeans,,Shopping,3455
petrol at Auto Service,Auto Service,Transportation,35
paid 113 for commute,,Transportation,113
monthly groceries from Cilantro,Cilantro,Food & Dining,742
pedicure at Sephora,Sephora,Personal Care,1345
restaurant meal from Domino's Pizza,Domino's Pizza,Food & Dining,358
consultation,,Healthcare,1941
paid 1161 for gas bill,,Bills & Utilities,1161
ride to work,,Transportation,208
paid 227 for gas bill,,Bills & Utilities,227
headphones,,Shopping,3611
paid 9842 for headphones,,Shopping,9842
paid 1158 for makeup,,Personal Care,1158
paid 1059 for phone bill,,Bills & Utilities,1059
fast food from Cook Door,Cook Door,Food & Dining,418
sushi dinner at Oscar Market,Oscar Market,Food & Dining,422
furniture from Beymen,Beymen,Shopping,5424
paid 68 for careem to office,,Transportation,68
prescription from Misr Pharmacy,Misr Pharmacy,Healthcare,3046
hotel stay,,Travel,9276
paid 353 for koshary,,Food & Dining,353
personal trainer at Cima Club,Cima Club,Entertainment,159
paid 409 for monthly groceries,,Food & Dining,409
foul and falafel,,Food & Dining,122
shopping spree,,Shopping,1691
plane ticket,,Travel,22750
paid 497 for restaurant meal,,Food & Dining,497
shawarma from Oscar Market,Oscar Market,Food & Dining,300
ride home,,Transportation,165
coffee and cake,,Food & Dining,348
udemy course from BUE,BUE,Education,3811
breakfast from Panda,Panda,Food & Dining,487
landline,,Bills & Utilities,901
bedding from The One,The One,Shopping,879
dessert at Sequoia,Sequoia,Food & Dining,37
uber to mall from Cairo Metro,Cairo Metro,Transportation,155
gym membership,,Entertainment,332
shawarma,,Food & Dining,434
uber to mall at Tneen Bike,Tneen Bike,Transportation,188
paid 562 for electricity bill,,Bills & Utilities,562
paid 393 for koshary,,Food & Dining,393
transportation from Auto Service,Auto Service,Transportation,32
paid 518 for yoga class,,Entertainment,518
paid 130 for pedicure,,Personal Care,130
jacket from IKEA,IKEA,Shopping,1338
restaurant meal from Panda,Panda,Food & Dining,491
metro ticket from Careem,Careem,Transportation,456
mobile recharge at Internet Provider,Internet Provider,Bills & Utilities,1098
uber ride,,Transportation,383
tuition at Coursera,Coursera,Education,13991
foul and falafel at Ovio,Ovio,Food & Dining,282
internet payment at Etisalat,Etisalat,Bills & Utilities,1403
dessert at Uber Eats,Uber Eats,Food & Dining,459
paid 282 for shawarma,,Food & Dining,282
brunch from Felfela,Felfela,Food & Dining,788
registration fee from Bank Fee,Bank Fee,Other,1245
mobile bill,,Bills & Utilities,1304
paid 6239 for language learning,,Education,6239
phone,,Shopping,8359
parking fee at Tneen Bike,Tneen Bike,Transportation,138
paid 275 for brunch,,Food & Dining,275
paid 1239 for cable tv,,Bills & Utilities,1239
sports,,Entertainment,105
utilities at beIN Sports,beIN Sports,Bills & Utilities,1109
paid 848 for personal care,,Personal Care,848
weekend getaway at Airbnb,Airbnb,Travel,6423
diesel,,Transportation,470
landline at Nile Sat,Nile Sat,Bills & Utilities,748
takeout from McDonald's,McDonald's,Food & Dining,58
yoga class,,Entertainment,197
commute at Uber,Uber,Transportation,338
game purchase,,Entertainment,831
satellite from beIN Sports,beIN Sports,Bills & Utilities,917
paid 112 for family dinner,,Food & Dining,112
ride home at Tneen Bike,Tneen Bike,Transportation,22
paid 660 for family dinner,,Food & Dining,660
transportation,,Transportation,320
hair salon,,Personal Care,808
bought clothes from Orange Store,Orange Store,Shopping,1047
paid 236 for personal trainer,,Entertainment,236
dessert,,Food & Dining,367
brunch from Al Omda,Al Omda,Food & Dining,306
paid 609 for electronics,,Shopping,609
diesel from Cairo Metro,Cairo Metro,Transportation,102
paid 795 for restaurant meal,,Food & Dining,795
paid 471 for bus fare,,Transportation,471
coffee and cake from Pottery Cafe,Pottery Cafe,Food & Dining,727
medicine from Dar Al Fouad,Dar Al Fouad,Healthcare,3088
workshop from Jarir Bookstore,Jarir Bookstore,Education,11059
paid 131 for netflix subscription,,Entertainment,131
paid 250 for coffee and cake,,Food & Dining,250
dinner from The Coffee Bean,The Coffee Bean,Food & Dining,147
concert from Cima Club,Cima Club,Entertainment,793
yoga class,,Entertainment,463
paid 588 for sushi dinner,,Food & Dining,588
spotify premium,,Entertainment,993
clinic at Seif Pharmacy,Seif Pharmacy,Healthcare,361
semester fees at Shorouk Bookstore,Shorouk Bookstore,Education,14316
paid 473 for careem trip,,Transportation,473
new phone at Kenoz,Kenoz,Shopping,7033
weekly shopping,,Food & Dining,772
fitness,,Entertainment,223
family dinner,,Food & Dining,778
benzine,,Transportation,40
pedicure at MAC,MAC,Personal Care,483
groceries at Otlob,Otlob,Food & Dining,678
brunch from Starbucks,Starbucks,Food & Dining,485
manicure from The Body Shop,The Body Shop,Personal Care,485
restaurant meal,,Food & Dining,280
benzene from Auto Service,Auto Service,Transportation,72
satellite at WE,WE,Bills & Utilities,109
monthly groceries at Hardee's,Hardee's,Food & Dining,769
uber ride at Careem,Careem,Transportation,365
paid 451 for ride sharing,,Transportation,451
uber to mall from Cairo Metro,Cairo Metro,Transportation,234
coffee from Uber Eats,Uber Eats,Food & Dining,304
foul and falafel from Andrea's,Andrea's,Food & Dining,317
music subscription from Renaissance,Renaissance,Entertainment,333
new phone,,Shopping,4664
food delivery at Burger King,Burger King,Food & Dining,755
restaurant meal,,Food & Dining,611
breakfast at Metro,Metro,Food & Dining,107
weekly shopping at KFC,KFC,Food & Dining,108
airport ride from Parking,Parking,Transportation,485
cosmetics,,Personal Care,617
brunch from Abou Tarek,Abou Tarek,Food & Dining,179
paid 226 for careem trip,,Transportation,226
paid 58 for brunch,,Food & Dining,58
careem to office from ADNOC,ADNOC,Transportation,217
foul and falafel,,Food & Dining,459
parking fee at Mobil,Mobil,Transportation,231
utilities at Electricity Company,Electricity Company,Bills & Utilities,1463
breakfast from Sequoia,Sequoia,Food & Dining,41
pedicure from MAC,MAC,Personal Care,492
groceries,,Food & Dining,159
family dinner from Espresso Lab,Espresso Lab,Food & Dining,255
movie tickets,,Entertainment,649
airport ride from Shell,Shell,Transportation,483
commute at Wataniya,Wataniya,Transportation,403
paid 248 for sports,,Entertainment,248
video games,,Entertainment,359
paid 199 for bus fare,,Transportation,199
monthly bills from Gas Company,Gas Company,Bills & Utilities,630
paid 232 for benzene,,Transportation,232
paid 1132 for shopping,,Shopping,1132
netflix subscription from Watch it,Watch it,Entertainment,74
paid 1541 for pet food,,Other,1541
commute,,Transportation,56
resort at Emirates,Emirates,Travel,24229
paid 920 for satellite,,Bills & Utilities,920
paid 71 for monthly groceries,,Food & Dining,71
fitness from Amazon Prime,Amazon Prime,Entertainment,941
tutoring from Udemy,Udemy,Education,10713
personal care from Pharmacy,Pharmacy,Personal Care,1824
paid 187 for ride sharing,,Transportation,187
paid 146 for sports,,Entertainment,146
parking fee from Wataniya,Wataniya,Transportation,187
internet payment,,Bills & Utilities,427
brunch,,Food & Dining,302
water bill,,Bills & Utilities,1065
study materials,,Education,8243
entertainment at Steam,Steam,Entertainment,526
benzene at Careem,Careem,Transportation,34
paid 7539 for gadget,,Shopping,7539
ride sharing,,Transportation,429
paid 397 for diesel,,Transportation,397
kitchenware from Amazon,Amazon,Shopping,6694
burger meal,,Food & Dining,685
weekly shopping,,Food & Dining,61
car wash from ADNOC,ADNOC,Transportation,438
water bill,,Bills & Utilities,1032
music subscription from YouTube Premium,YouTube Premium,Entertainment,688
paid 1071 for phone bill,,Bills & Utilities,1071
paid 498 for weekly shopping,,Food & Dining,498
uber to mall,,Transportation,42
online order,,Shopping,3163
petrol,,Transportation,474
paid 315 for transportation,,Transportation,315
hotel stay at Agoda,Agoda,Travel,20235
entertainment,,Entertainment,911
taxi from Total,Total,Transportation,332
books at ILI,ILI,Education,10470
paid 468 for foul and falafel,,Food & Dining,468
dessert from Estoril,Estoril,Food & Dining,474
movies from Smart Gym,Smart Gym,Entertainment,210
netflix subscription,,Entertainment,240
water bill from Gas Company,Gas Company,Bills & Utilities,337
prescription,,Healthcare,1800
petrol at Careem,Careem,Transportation,131
pharmacy,,Healthcare,1004
furniture,,Shopping,2898
paid 424 for taxi,,Transportation,424
foul and falafel,,Food & Dining,143
gasoline at DiDi,DiDi,Transportation,466
uber ride from Misr Petroleum,Misr Petroleum,Transportation,285
brunch,,Food & Dining,273
paid 376 for careem trip,,Transportation,376
paid 408 for sushi dinner,,Food & Dining,408
laundry from Bank Fee,Bank Fee,Other,413
paid 1811 for doctor visit,,Healthcare,1811
paid 376 for pizza order,,Food & Dining,376
cable tv at beIN Sports,beIN Sports,Bills & Utilities,801
medicine from 19011 Pharmacy,19011 Pharmacy,Healthcare,3039
coffee,,Food & Dining,694
gas refill from Cairo Metro,Cairo Metro,Transportation,441
landline from Gas Company,Gas Company,Bills & Utilities,1042
foul and falafel at Zooba,Zooba,Food & Dining,543
utilities from Orange Egypt,Orange Egypt,Bills & Utilities,1240
paid 477 for monthly groceries,,Food & Dining,477
online order at LC Waikiki,LC Waikiki,Shopping,114
family dinner at Kheir Zaman,Kheir Zaman,Food & Dining,718
sushi dinner from Otlob,Otlob,Food & Dining,585
takeout from La Poire,La Poire,Food & Dining,170
paid 4515 for pharmacy,,Healthcare,4515
headphones at Pull&Bear,Pull&Bear,Shopping,5892
semester fees,,Education,16075
paid 42 for car wash,,Transportation,42
ride sharing from Mobil,Mobil,Transportation,379
coffee and cake at Kheir Zaman,Kheir Zaman,Food & Dining,372
family dinner at Spinneys,Spinneys,Food & Dining,601
dessert,,Food & Dining,628
paid 9046 for airbnb,,Travel,9046
coffee from Uber Eats,Uber Eats,Food & Dining,737
ride to work from Shell,Shell,Transportation,155
blood tests at Dar Al Fouad,Dar Al Fouad,Healthcare,914
family dinner from El Abd,El Abd,Food & Dining,499
electricity bill from Gas Company,Gas Company,Bills & Utilities,1221
phone,,Shopping,9445
game purchase,,Entertainment,536
taxi at ADNOC,ADNOC,Transportation,106
family dinner from Oscar Market,Oscar Market,Food & Dining,386
shawarma,,Food & Dining,608
careem trip from Tneen Bike,Tneen Bike,Transportation,145
commute from Total,Total,Transportation,48
massage,,Personal Care,1890
uber to mall at Auto Service,Auto Service,Transportation,250
gasoline from Mobil,Mobil,Transportation,236
shawarma from Cilantro,Cilantro,Food & Dining,345
shopping spree at H&M,H&M,Shopping,8062
online order from Home Centre,Home Centre,Shopping,7425
pizza order from Starbucks,Starbucks,Food & Dining,413
books at BUE,BUE,Education,337
paid 60 for commute,,Transportation,60
bus fare,,Transportation,460
shawarma,,Food & Dining,442
diesel from Total,Total,Transportation,191
uber ride at Gas Station,Gas Station,Transportation,183
dessert,,Food & Dining,563
food delivery from Subway,Subway,Food & Dining,261
shirt at Defacto,Defacto,Shopping,6207
commute at Careem,Careem,Transportation,165
shawarma,,Food & Dining,472
jeans,,Shopping,355
cable tv at Electricity Company,Electricity Company,Bills & Utilities,746
takeout from Carrefour,Carrefour,Food & Dining,230
fast food at Andrea's,Andrea's,Food & Dining,365
paid 375 for airport ride,,Transportation,375
streaming service at Spotify,Spotify,Entertainment,918
airport ride at Swvl,Swvl,Transportation,379
parking fee at DiDi,DiDi,Transportation,29
restaurant meal at Spinneys,Spinneys,Food & Dining,641
paid 5541 for tourism,,Travel,5541
electricity bill from Electricity Company,Electricity Company,Bills & Utilities,1477
koshary from Kazaz,Kazaz,Food & Dining,713
furniture,,Shopping,9152
paid 5284 for jeans,,Shopping,5284
paid 177 for ride home,,Transportation,177
movies at Spotify,Spotify,Entertainment,255
monthly groceries,,Food & Dining,512
paid 12650 for hotel booking,,Travel,12650
lab tests,,Healthcare,3993
paid 24 for benzene,,Transportation,24
furniture at Pottery Barn,Pottery Barn,Shopping,5431
x-ray from 19011 Pharmacy,19011 Pharmacy,Healthcare,3384
furniture at Marks & Spencer,Marks & Spencer,Shopping,7201
uber to mall from InDrive,InDrive,Transportation,271
utilities from beIN Sports,beIN Sports,Bills & Utilities,598
gasoline at InDrive,InDrive,Transportation,181
sneakers,,Shopping,1305
paid 922 for personal trainer,,Entertainment,922
electricity bill at Electricity Company,Electricity Company,Bills & Utilities,1202
uber to mall at DiDi,DiDi,Transportation,201
wifi at beIN Sports,beIN Sports,Bills & Utilities,885
brunch from Al Omda,Al Omda,Food & Dining,78
burger meal,,Food & Dining,631
flight ticket,,Travel,17772
car wash at InDrive,InDrive,Transportation,448
burger meal,,Food & Dining,614
restaurant meal from Seoudi,Seoudi,Food & Dining,80
dinner at Cook Door,Cook Door,Food & Dining,190
kitchenware from Vodafone Store,Vodafone Store,Shopping,4697
coffee,,Food & Dining,103
udemy course,,Education,16506
car wash at Gas Station,Gas Station,Transportation,248
phone from Noon,Noon,Shopping,3672
pizza order,,Food & Dining,119
gas refill from Gas Station,Gas Station,Transportation,346
pharmacy,,Healthcare,3004
paid 423 for careem trip,,Transportation,423
